text,label
udah ngerjain tugas tapi tetap omongan orang,stres
gak sanggup lagi ngelamun setiap hari,stres
aku nangis karena masalah keluarga,stres
udah teriak tapi tetap omongan orang,stres
udah ngerjain tugas tapi tetap diri sendiri,stres
aku lelah harus terus melawan pikiran negatif,stres
marah sama kecewa sama diri sendiri,stres
tugas banyak banget kapan bisa istirahat,stres
kenapa harus teriak waktu beban pikiran,stres
sedih nilai ulangan jelek,stres
capee udah gakuat sama uas,stres
aaaa semua nilai jelek pasti bakal diomelin,stres
beneran gak kuat lagi buat pura-pura kuat,stres
kenapa harus menghindar waktu deadline tugas,stres
udah menghindar tapi tetap masalah keluarga,stres
capek banget jadi orang yang selalu berpikir,stres
gak sanggup lagi tidur setiap hari,stres
besok pasti bakal banyak tugas aaaaa,stres
kenapa harus berusaha waktu masalah keluarga,stres
udah menghindar tapi tetap diri sendiri,stres
capek banget jadi orang yang selalu diam,stres
kenapa harus ngerjain tugas waktu masalah keluarga,stres
udah memuaskan orang lain tapi tetap beban pikiran,stres
capek banget jadi orang yang selalu melawan pikiran negatif,stres
kenapa harus diam waktu harapan palsu,stres
kecewa udah belajar tapi nilai jelek,stres
aku berusaha karena diri sendiri,stres
orang orang kok pada jahat capek difitnah,stres
rasanya pengen nangis pas lagi rasa takut,stres
udah melawan pikiran negatif tapi tetap masalah keluarga,stres
aku pura-pura kuat karena rasa takut,stres
gak sanggup lagi menghindar setiap hari,stres
udah tidur tapi tetap harapan palsu,stres
aku lelah harus terus diam,stres
aku pura-pura kuat karena tekanan hidup,stres
udah ngelamun tapi tetap beban pikiran,stres
aku lelah harus terus menghindar,stres
rasanya pengen diam pas lagi tekanan hidup,stres
capek banget jadi orang yang selalu memuaskan orang lain,stres
udah nahan emosi tapi tetap rasa takut,stres
kenapa harus melawan pikiran negatif waktu omongan orang,stres
aku diam karena tuntutan orang tua,stres
rasanya pengen tidur pas lagi diri sendiri,stres
kenapa harus berpikir waktu tekanan hidup,stres
rasanya pengen menghindar pas lagi tuntutan orang tua,stres
aku memuaskan orang lain karena kesepian,stres
sakit bangat kepala aku,stres
udah melawan pikiran negatif tapi tetap beban pikiran,stres
capek banget jadi orang yang selalu teriak,stres
beneran gak kuat lagi buat melawan pikiran negatif,stres
kenapa harus pura-pura kuat waktu kesepian,stres
tiap malam cuma bisa pura-pura kuat karena beban pikiran,stres
rasanya pengen pura-pura kuat pas lagi rasa takut,stres
rasanya pengen teriak pas lagi omongan orang,stres
rasanya pengen nangis pas lagi masa lalu,stres
kenapa harus diam waktu masalah keluarga,stres
selalu ovt karena omongan orang,stres
aku menghindar karena teman toxic,stres
capek sama hidup ini,stres
rasanya pengen melawan pikiran negatif pas lagi teman toxic,stres
rasanya pengen pura-pura kuat pas lagi tuntutan orang tua,stres
aku diam karena tekanan hidup,stres
beneran gak kuat lagi buat berpikir,stres
rasanya pengen berusaha pas lagi diri sendiri,stres
capek banget jadi orang yang selalu menghindar,stres
tiap malam cuma bisa pura-pura kuat karena tekanan hidup,stres
beneran gak kuat lagi buat ngelamun,stres
ayah maksa buat jadi ini itu,stres
rasanya pengen teriak pas lagi beban pikiran,stres
kapan bisa hidup santai tanpa tekanan,stres
kenapa harus ngelamun waktu tuntutan orang tua,stres
gua dah muak sama sekolah,stres
udah ngeluh tapi tetap tekanan hidup,stres
kenapa harus ngelamun waktu kesepian,stres
rasanya pengen diam pas lagi tuntutan orang tua,stres
aku teriak karena beban pikiran,stres
beneran gak kuat lagi buat memuaskan orang lain,stres
cuma bisa nangis karena rasa takut,stres
gak sanggup lagi nahan emosi setiap hari,stres
rasanya pengen teriak pas lagi deadline tugas,stres
kenapa harus diam waktu omongan orang,stres
kenapa harus nahan emosi waktu harapan palsu,stres
selalu ada rasa takut,stres
rasanya pengen menghindar pas lagi deadline tugas,stres
tiap malam rasanya mau teriak,stres
orang bilang suara aku jelek banget,stres
rasanya pengen nahan emosi pas lagi teman toxic,stres
banyak banget tugasnya pusing,stres
ga kuat pengen marah,stres
aku tidur karena kesepian,stres
kenapa harus tidur waktu tekanan hidup,stres
udah pura-pura kuat tapi tetap masa lalu,stres
kenapa harus tidur waktu teman toxic,stres
rasanya pengen berusaha pas lagi masalah keluarga,stres
capek banget jadi orang yang selalu pura-pura kuat,stres
beneran gak kuat lagi buat diam,stres
kepalaku penuh sama omongan orang,stres
susah melawan pikiran negatif karena tekanan hidup,stres
rasanya pengen teriak pas lagi masalah keluarga,stres
aku melawan pikiran negatif karena masa lalu,stres
gakuat sama dunia,stres
gak sanggup lagi teriak setiap hari,stres
aku lelah harus terus nahan emosi,stres
rasanya pengen memuaskan orang lain pas lagi beban pikiran,stres
tugas selalu numpuk pusing gamau sekolah,stres
aku nahan emosi karena deadline tugas,stres
kenapa harus diam waktu diri sendiri,stres
beneran gak kuat lagi buat teriak,stres
rasanya pengen pura-pura kuat pas lagi kesepian,stres
rasanya pengen berpikir pas lagi teman toxic,stres
gak sanggup lagi ngerjain tugas setiap hari,stres
rasanya pengen nahan emosi pas lagi harapan palsu,stres
selalu memikirkan hal jelek dimasa lalu,stres
nangis karena tekanan hidup,stres
emosi ga ke kontrol selalu pengen nangis,stres
cape disuruh mama ini itu terus,stres
tiap malam cuma bisa nangis karena tuntutan orang tua,stres
tiap malam cuma bisa nahan emosi karena omongan orang,stres
rasanya pengen melawan pikiran negatif pas lagi tuntutan orang tua,stres
rasanya pengen teriak pas lagi tuntutan orang tua,stres
aaaaaaaaa cape banget,stres
tiap malam cuma bisa nahan emosi,stres
ga percaya diri muka aku jelek,stres
udah berusaha tapi tetap deadline tugas,stres
gak sanggup lagi berpikir setiap hari,stres
aku nangis karena rasa takut,stres
rasanya pengen ngeluh pas lagi masalah keluarga,stres
bingung mau bertahan apa nyerah,stres
aku tidur karena tekanan hidup,stres
aku pura-pura kuat karena tuntutan orang tua,stres
aku nangis karena teman toxic,stres
capek banget jadi orang yang selalu ngelamun,stres
udah diam tapi tetap masa lalu,stres
beneran gak kuat lagi buat tidur,stres
kayaknya aku depresi karena banyak tugas,stres
kenapa harus teriak waktu masa lalu,stres
tiap malam cuma bisa ngerjain tugas karena masalah keluarga,stres
tiap malam cuma bisa melawan pikiran negatif karena deadline tugas,stres
kenapa harus pura-pura kuat waktu tuntutan orang tua,stres
mau nangis karena tekanan hidup,stres
aku lelah harus terus teriak,stres
kenapa harus nahan emosi waktu rasa takut,stres
gak sanggup lagi pura-pura kuat setiap hari,stres
kenapa harus tidur waktu tuntutan orang tua,stres
rasanya pengen ngelamun pas lagi beban pikiran,stres
kenapa harus ngerjain tugas waktu harapan palsu,stres
aku lelah harus terus ngelamun,stres
aku ngelamun karena deadline tugas,stres
tiap malam cuma bisa teriak karena rasa takut,stres
capek banget jadi orang yang selalu ngerjain tugas,stres
aku ngerjain tugas karena kesepian,stres
rasanya pengen nangis pas lagi harapan palsu,stres
tiap malam cuma bisa nangis karena diri sendiri,stres
walaupun sempat gagal aku tetap percaya diri,stres
tiap malam cuma bisa memuaskan orang lain karena tuntutan orang tua,stres
rasanya pengen melawan pikiran negatif pas lagi omongan orang,stres
udah muak sama teman toxic,stres
stres mama papa berantem mulu,stres
kenapa harus ngeluh waktu diri sendiri,stres
kenapa harus nangis waktu masalah keluarga,stres
aku nahan emosi karena masa lalu,stres
udah menghindar tapi tetap harapan palsu,stres
kenapa harus pura-pura kuat waktu rasa takut,stres
aku menghindar karena harapan palsu,stres
udah tidur tapi tetap tuntutan orang tua,stres
aku memuaskan orang lain karena beban pikiran,stres
rasanya pengen tidur pas lagi masalah keluarga,stres
aku lelah harus terus nangis,stres
lelah hidup,stres
tiap malam cuma bisa tidur karena kesepian,stres
tiap malam cuma bisa berpikir karena teman toxic,stres
rasanya pengen memuaskan orang lain pas lagi rasa takut,stres
kenapa harus pura-pura kuat waktu harapan palsu,stres
aku teriak karena harapan palsu,stres
rasanya pengen nahan emosi pas lagi diri sendiri,stres
aku tidur karena teman toxic,stres
udah pura-pura kuat tapi tetap tuntutan orang tua,stres
kenapa harus teriak waktu rasa takut,stres
aku memuaskan orang lain karena harapan palsu,stres
beneran gak kuat lagi buat nahan emosi,stres
gamau sekolah temen temen jahat semua,stres
aku memuaskan orang lain karena masa lalu,stres
udah berusaha tapi tetap omongan orang,stres
kenapa harus ngerjain tugas waktu teman toxic,stres
orang orang pada pinter tapi aku gak,stres
berat banget banyak tugas,stres
rasanya pengen berpikir pas lagi tuntutan orang tua,stres
mama nuntut nilai bagus takut ngecewain,stres
rasanya pengen ngeluh pas lagi tuntutan orang tua,stres
udah ngerjain tugas tapi tetap beban pikiran,stres
beneran gak kuat lagi buat nangis,stres
udah berusaha tapi tetap tekanan hidup,stres
udah pasrah banget sama hidup ini,stres
cape cape aku mikir review jurnal enggak kesimpen aku sedih banget,stres
cape ih dipush buat nikah terus kaya apasiii aku kan masih anakanak mana calonnya juga kaga ada hilalnya mana bisa nikah lah,stres
gua jg cape,stres
abis utbk cape banget sumpah setelah makan langsung balik tidur berjamjam,stres
pgn cutting cape jog trs pgn gym tapi aku takut memulai gada yg nemenin,stres
masih pagii dah cape bukan cape tenaga,stres
cape banget punya ortu ga supportif,stres
ya allah cape banget jadi luke stan,stres
moment whc byk bgt gw ampe cape rt rt mulu,stres
mamahhhhhh capeeee mamah lebih cape kah,stres
gue kemaren juga bikin skck di puterputerin terus sampe cape sendiri,stres
gausah berlebihan deh bla bla bla  gila pola hidup pola tidur pola makannya jelek gitu masih bae maksain yang cape bukan cuma fisik psikis lu juga bakal kena stresss,stres
cape bgt sama indihome,stres
cape bgt smt akhir tu ternyata aku butuh support system,stres
baru sadar beberapa hari ini cape bgt sampe ga mikirin dia ternyata bisa aja sih,stres
bole ga si nangis triak gt asli pengen banget cape dibanding in mulu sama orang rumah dikira gue ga kerja apa ya gue juga uda gapernah minta duit lo biar gua jajan pas ngampus trkhir gua dpt uang jajan ya pas gua sma gua bangun jam siang krn gua tidurnya pagi mo nyerah,stres
cape bgt keknya,stres
belajar tapi lu cape apa yg masuk di otak anjirr gaada salah org istirahat trs menikmati apa yg mereka mau,stres
kalo org lain belajar yaudah kyk focus aja ke diri lu sndiri butuh apa kalo emg lu punya tenaga dan stamina lakuin aja gaada salahnya tapi gaada salahnya juga lu istirahat kalo lu terus ngepush tapi lu cape pointless juga,stres
gue cape bgt batukkkk mau garuk tenggorokan sendiri,stres
cape banget aprilll,stres
semua juga cape,stres
lu ga liat sih org tua yg nangisin anaknya krn lu ga hadir di situ w jg cape ya ama kerjaan sendiri pengen tidur trs tiba² dilimpahin tgs yg harusnya bkn tanggungjawab w udh gada nurani gak cocok lu jd dokter anak,stres
tugas udah yu stop yu kamu ga cape apa dateng terus aku cape ih ngerjainnya,stres
gw udh gamau boong lagi lah co cape gw,stres
tapi fakta dilapangan yang banyak kita liat sdm kita masih banyak yang belum mumpuni dan banyak dari sdm itu sendiri yang punya mental miskin maunya di suapin mulu kerja dikit cape maunya kerja instan tapi di gaji gede ntar ga dapat kerja dan ga ada duit nyalahin semesta,stres
generasi media sosial saat ini adalah generasi yang terbiasa mengkonsumsi cocoklogi teori konspirasi jadi kalo ada fenomena politik yang tidak cocok dengan dengkul mereka langsung tuduh konsporasi maka selesai kasus tanpa harus cape berpikir banyak,stres
gatau plis gue cape pengin nangis,stres
update sumpah aku dh cape tunggu malah dpt kabar kek gini knp gk dri awal gitu lho,stres
sumpah gw cape bgt apa ya,stres
cape dikit,stres
iya njay cape bgt mulung bnyk apk tapi ga win win bjil kupingnya sunpelan semua mengeluh dgn nada rendah,stres
cape kali jelasinnya emosi gimana jelasinnya si biar dia paham,stres
baru aja gue ngobrol ma remaja yang pengen tahu ttg kb bahwa berkb itu sebuah keputusan yang perlu dihormati ga boleh dipaksakan lah ini malah ada kebijakan yang tidak menghormati tubuh seseorang lewat kb cape,stres
gibengin di org pls dr kmrn gw udh blg cape bgt,stres
cuma dunia tp cape bgt ya,stres
gua seburuk itu kali ya sampe selalu ditemuinnya kalo ga sama yg punya mental issues ya broken home padahal alhamdulillah keluarga gua baik tp kenapa ketemunya gini terus anjir cape gua bukan montir disuruh benerin orang mulu,stres
jujur cape banget,stres
cape gak sih dulu aku enjoy bgt stan all unit bisa hype kemana aja tapi makin kesini makin kesana udh agenshit kagak jelas subfandom toxic solo stan lebih gila lagi jadi males,stres
cape  hari kurang tidur mau pulang ㅠㅠ,stres
semoga dia masa stresnya udhn lah gue yg cape,stres
hidup lg cape capenya malah sakit mata,stres
masih pagi udah cape,stres
cape bgt,stres
aku udah cape jadi ga pernah skinkeran lagi minesnya gampang komedoan aja jerawat sesekali,stres
cape gue trs yg minta maaf,stres
cape bgt sm org yg ga responsible,stres
real tapi penasaran bangettt pengen cepet juga gaksi cape anxious mulu huhu,stres
ga ada yang larang cuma ngeluarin unek unek aja cape banget ketemu parkir pesawat brorinv,stres
ya allah sungguh aku cape bgtt kuatin aku hari ini,stres
cape bngt pliss,stres
sampe cape bgt,stres
cape kerja ihhh,stres
gua cape bgt bener bener  energy toko seminggu ini rame banget ditambah libur diujung minggu kek gua cape pgn libur akh,stres
cape bgt yallah,stres
cape bgt,stres
sukasuk dia istri pernah cape banget kerja w suruh resign dan dia mau eh nganggur sebulan doi malah bosen jadi irt yaa akhirnya kerja lagi wkwk,stres
cape punya pikiran gapernah tenang,stres
cape ngertiin trs pgn gantian di ngertiin,stres
aku menjawab yaudah terserah mau gimana aku merasa siap jikalau ditinggalkan kesekian kalinya karena aku sudah benar benar cape aku tidak tau apakah dia bakal bertahan dengan sikapku ini aku sendiri sudah muak dengan sikapku,stres
cape bgt kaya gini terus gada hubungan apa apa tapi ngerasa ada hubungan tiap hari ketemu seneng iya tapi kenapa tiap ada sesuatu yg ga cocok rasanya kesel sedih marah kenapa setiap dirasa itu dia selalu minta penjelasan kenapa kesel kenapa sedih kenapa marah,stres
hdh cape bgt ama provider satu enih kek kl emg w make tuh ya tunjukin mana buktiny tampilin di historynya hhhhh bikin suudzon  emosi ae,stres
baru ngebayangin aja udah cape bgt buat menghadapi hari ini,stres
i know avoid gamau ky avoid but anxious juga ga mau terlalu menggebu kalo misalnya anxiousnya kambuh anxious juga cape jir kalo lagi kambuh dan ternyata tiba ngabarin lewat platform lain,stres
cape banget dah,stres
gila ai udah makin ngaco,stres
wkwkwkwwk tambah tua malah tambah gila ya gapapa ira its normal,stres
wallahiii gua gila kayanya gua gilaaaaaa,stres
gila rasanya gw gak tidur semaleman gara gara pengen namatin manhwa yang ak baca skrang aku makin gak bisa tidur huhuhuhu apa apaan gantung bgt taaai,stres
gue beneran bisa gila,stres
gila emg spam bgt,stres
gila babi kan,stres
dah dapat lelaki baik bini pulak buat hal sial gila perempuan macam ni kau dah beranak amp dapat lelaki baik pun fikir nak curang,stres
bisa gila,stres
kalo org miskin beban ekonomi ya dibenerin aturan yg bikin miskin cth tertibin perusahaan yg ngasih batasan maksimal usia kerja bukan diilangin orangnya gila lagian duit negara yg keluar buat bansos sama potensi yg harusnya masuk gw yakin gedean yg terakhir,stres
buset bisa gila udah,stres
hati dan otak kau tu yg jijik get help to recover takut simpan lama jadi gila u still ada hope,stres
gue bisa gila,stres
ini klo pinggang hong di rangkul apa ga gila kita,stres
mcm kes zulaia dulu tu je dok delulu sorg pastu family taknak responsible hantar pegi treatment kesian laki tu laa trauma bodo hadap org gila mcmni,stres
makanya aneh banget minimallll oksigenn ajaaa ini ga ada apa apa dibiarin kejangg gila ya berobat dimanasih,stres
dipikir lagi gua malu banget ngurusin hal begituan smpe jadi masalah jir kek bocil bngt beneran buang tenaga gila but at least aku enjoy dgn hidup ku yg sekarang aku bebas mw ngapain aj tanpa hrs mikirin org lain,stres
kasian udh mulai gilamending periksa dah,stres
gila padahal kalau nunggu bentaran lagi kayanya bisa dah dia pakai duit sendiri sayang banget padahal itu dikejar ga cuma  tahun,stres
ah gila ya orang skripsian perkara typo setitik aja bisa diamuk sama dosbing dihhh kurang ajar,stres
untuk saat ini aku lebih memegang whats yours will come to you instead of ill do this every day and night to change my fate karena tahun lalu aku berusaha dapetin jalur langit yang mana malah bikin aku kecewa sama tuhan sekarang aku mikirnya rezekian aja deh,stres
april kenapa bikin kecewa ya hm,stres
aku kecewa tp dlm posisi postf mikirny aah ternyta infonya blm nyampee nyampe jugaa dr hasil teriak kmrin tnyta gka nyampe sm siapapuun gak nyampeeee yg bgniii kog temboknya tinggi bgt lupakaaah atau gk tau sm sklii trus dsana mmg gk masif jd ya tenggelam,stres
sebenarnya saya dah kecewa dan putus harap sama im dan im of im saya,stres
kecewa gw,stres
mohon maaf datengdateng langsung kecewa,stres
nah ini you took the words outta my mouth makasih ye lbh ke takut sm pasangan kecewa sm gua grgr personality gua yg bs tbtb ajaib lmao takut aja bikin org makan hati grgr gua,stres
guaaa di titik bnran nyisain ruang kecewa yang sangat besar kalo mereka bnr gk bakal bersuara dan trsan tutup mata,stres
terus dari segi culture orang korea emang udah terbiasa makan mukidi sebagai camilan ibaratnya bahkan orang kismin disana pun sanggup beli mukidi sejujurnya aku kecewa banget apalagi doi paling nyaring yang menyuarakan soal kemanusiaan,stres
satu lagi deh ini semua yg protes bukan karna dan bukan soal nut gw sama yg lain cuma ngerasa marah sedih kecewa karna lagi² est diperlakuin kekgitu,stres
emang dah paling bener kalo ada masalah ya dipendem aja gak papa kok berusaha ikhlas aja gak bakalam dendam cuman kecewa aja tapi bakal diingat sampai kapanpun,stres
kecewa berat wanjay,stres
beneran gamau gw capek kecewa,stres
me kecewa,stres
dari kecewa marah kesel sedih sampe cape uda ga ada energi marah lg ke si kuning itu i just want my sn so i can sleep well tonight,stres
kecewa sih,stres
sejujurnya udah dari lama menurunkan ekspektasi tapi kenapa makin kesini malah makin dibikin kecewa,stres
kecewa bgt padahal di wa begini,stres
hai pembenci buangbuang energi percuma kalian si pembenci hatinya tersiksa terganggu kecewa dan sakit hati permanen,stres
ni negara emang dikuasai oleh segelintir pihak saja mereka yang bukan golongannya akan merasa kecewa dikecewakan bahkan diperas hingga kering burung garuda yg kita banggakan itu terlihat kurus kering membawa perisai rusak yg bergelantungan di lehernya,stres
ya allah kalau ini nggak keluar lagi warna sumpah kecewa berat asli nggak paham lagi,stres
aileee sayaaang capek banget ya jadi caretaker gapapa kok ngeluh dan marah serta kecewa kamu udah ngelakuin sebisa kamu aku nggak bisa kasih katakata istimewa tapi aku harap semua kecewa dan lelah kamu berbuah karma manis untuk ke depannya peluk jauh ya sayang,stres
gua smpe lupa caranya sedih sangking udh terbiasa nya ngerasa kecewa wkwkwk,stres
jadi agak merasa bersalah asbun gini gak nyangka bakal banyak yang nanyain abang kecewa gak pas tau kalau itu asbun doang,stres
bener deh kecewa banget,stres
hobi juga  kecewa berat kurang kaya apa sih kalian ini terangterangan bgt iklanin produk boikot,stres
kecewa brat,stres
aku pernah membuat ibuku kecewa esoknya beliau tetap menyediakan sarapan untukku masih adakah cinta yang lebih tulus dari ibu,stres
aku provasektomi sangat kecewa krna mulai dr skrg vasektomi akan dikaitkan dgn kebijakan jelek ini,stres
huft kecewa,stres
ingat jgn terlalu semangat jgn terlalu happy jgn terlalu percaya nanti cuma kecewa dan capek kl tidak sejalan,stres
bocahnya emosian anjir bawel banget ceplas ceplos dan kerjaannya ngerusuhin orang tapi sekalinya kecewa dan marah langsung auto cut off orang dan anggep orangnya gak ada bahkan gak akan mau dengerin penjelasan apapun itu dari ybs,stres
bila aku kecewa ni aku pilih tidur kerana tidur mengelakkan pertengkaran,stres
udah cape juga trll percaya tuh takut kecewa,stres
kecewa dahh,stres
hari ini kecewa kesal dan marah,stres
kecewa bgt,stres
iy gitulah makanya ga tau deh kecewa,stres
asli udah begini gadapet bansos agaknya ogut kecewa ya,stres
hiks sedih bgt bayi ku tidak mau makan kalau tidak di suapin secara paksa hiks pdhl sebulan kemaren dia mam e banyak bgt hiks,stres
iya mas saya pribadi sedih bgt harapan saya walaupun misalnya brgmnya tdk diperpanjang minimal prims masih bisa diakses mungkin dgn domain kementerian jg nggak apa lembaga boleh bubar tp peninggalan yg baik setidaknya jangan ikut hilang mestinya,stres
sedih nya gamasupp ht hikss,stres
sedih sekali,stres
ah sedih kalau diceritain mah naon,stres
hiks sedih banget,stres
kok ak jd sedih hug uwu,stres
sedih bgt tapi mungkin itu yg terbaik,stres
kalau anda kenal wanita yang tanggung semua perbelanjaan keluarga dengari dia sokong dia jangan salahkan dia mungkin dia sedang buat yang terbaik dengan penuh perasaan sedih sunyi amp senyap,stres
hoyo gw masi sedih y capitano lu gituin,stres
terlalu banyak seharusnya saking nyeselnya aku gabisa rawat kamu dengan baik salah aku memang ga perhatian waktu  hari kamu muntah dan gamau makan aku bingung soalnya kamu emg gapulang kerumah mungkin kamu gamau kita sedih waktu liat kamu,stres
brooo aku kalo sedih emg unconscious gt ya,stres
sedih banget amnj,stres
hah yg  deket juga ngebicarain kamu publicly cut off aja kareen kok ak yg sedih ya,stres
sedih banget aku bakalan sedih tapi gapapah masi ada  orang gapapah,stres
sedih bgt sumpah,stres
sedih bgt plis,stres
kalo gw sih asal jangan inter tapi ngeliat inter digituin sama teknologi gw jadi sedih,stres
saking berharapnya kayanya jadi ga ngeuh merhatiin detail sedih,stres
ehh yaallah sedih bgt,stres
makin sedih aja,stres
kenapaa yaa tiba tiba sedih,stres
sedih banget,stres
knp km syg sedih kenapa,stres
orang ekonomi kebawah menggangap bercocok tanam itu sebagai hiburan kak sedih ya tp sayangnya ga sejalan sama kelahiran anak yang akhirnya gabisa dikontrol sementara yg udah settle pasti mikir biaya dan punya hiburan lain selain itu,stres
hawooo km knp mukanya kek sedih bgtu ndud,stres
sedih,stres
bangunbangun nangis bahkan sampe skrng masih disenggol dikit emosinya langsung pengen nangis ga suka banget kyk gini masalahnya gue ga tau kenapa gue sedih kyknya perlu ke psikolog,stres
kecewa sedih,stres
sedih bgt kuas favorite gw ilang,stres
mau bgt pls belakangan lg sedih bgt,stres
sedih banget hari ini gak libur,stres
subuh itu merasa bersalah kali ninggalin fuchsia yang lagi sakit di rumah sampe berpikir harusnya aku tu ga sekolah harusnya tu aku selalu di samping dia aku tu ibu yang egois sedih kali ga tau bilang selesai visite out of nowhere tiba aja konsulenku ngomong gini,stres
terus solusinya apa bang jgn ikut sedih doang,stres
kalo anak masih dibawah umur terutama dibawah  tahun jangan kasih kuasa penuh untuk megang gadget untuk menghindari hal seperti ini sedih banget masih sekolah dasar jadi korban pedofilia,stres
sedih banget ya karena ambisi dia buat mencapai hal semu dengan di notice atau diingat idolnya dia jadi kehilangan masa depan cerah yang diidamkan banyak orang,stres
sedih bestie di kantor pada menghilang,stres
stres pagi buka x makin stres,stres
di kantor stres karena atasan di kos stress gara tetangga kos tiap pagi anaknya  bertengkar mulu mana mereka ada pas libur doang,stres
cuma stres yg gabisa gue handle tapi ironisnya malah stres yg jadi biang masalah dan munculin penyakit lain,stres
idup lagi stresnya sama tuton liat ginian makin gelengkepala,stres
stres yaampun gue acakacak nih bumi ya,stres
stres bgt ya ngadepin org lbh tua tantrum penting emg buat biarin anak puas tantrum biar pas gede ga tantruman,stres
ini gw di kantor kemaren anjink gw sampe kena lambung saking stres nya,stres
gue mau pindah tapi malas juga pindah salah banget dah gue ini stres banget dah ini too personal anjg,stres
stres bgt stresssssssss,stres
stres banget drop jam segini y ily,stres
riil sehari stres skripsi,stres
stres bgt tp lg pms jg,stres
rapat jam  subuh inimah bukan gabisa bangun tp belum tidur stres,stres
gw udah stres kayanya,stres
sudahi stres ini saatnya menjadi gila,stres
info agara supaya kalo stres gak ngerusak jam tdr gmn ya ini gua dari kemaren cuma tdr  jam kurang,stres
baru pulang dan ak melihat ini stres bangettt nghhhhh,stres
lumayan stres jam an gw udah naik buat tidur tp abis itu hp gw kocak akhirnya turun gunung lagi dan ujungnya tidur pagi juga bangke,stres
stres berat perkara pc anjir,stres
punya hati yang sensitif itu ngak enak banget di bentak sedikit nangis lagi kesel nangis lagi marah nangis lagi panik dan stres nangis nonton film vt fyp sedih bisa tiba nangis apa nangis capek banget hidup lo nangisssssss mulu,stres
fix gue lagi stres,stres
tentang alpha tuh gini alpha tuh gitu syong stres sendiri ngehadapinnya belum lagi ortu nya yang ga beda jauh setiap dia ngelakuin kesalahan yang sebenarnya kecil banget orang orang langsung kaya kok kamu begini calon alpha gak seharusnya gini blablablabla,stres
yadah lu paling tau cape ah gw dh stres malah di ajak debat buat ga mood,stres
anjirrr stres,stres
stres bgtt,stres
stres banget anjing,stres
bau bau bulan mei ni bakal stres berat,stres
diem gweh stres bgt hrus hubungin instansinya sndiri,stres
lg stres,stres
serem banget jadi napi gegara kpop sesuai kemampuan aja plis gausah maksain diri apalagi nekat kipopan jangan dijadiin pencapaian karena bisa stres kalau gak kecapai jangan sampai kelilit hutang juga gk semua harus disamperin nanti ada rejekinya kalo gak ya hype aja cukup,stres
adalah aku sampe kumat aslam gegara stres,stres
tbh gatau harus bermindset kyk gimana lagi hseminggu pengumpulan stres bgt jir ga selesaiselesai,stres
njir ada yang lebib stres ternyata,stres
pernah gak sih lu kesel sampe buat kepala pusing kek gak bisa nangis tapi stres,stres
balikiiiinn duit guaaaaaaaa semakin stres,stres
terpantau makin malam makin stres,stres
