text,kategori,sumber
rasanya pengen diam pas lagi tuntutan orang tua,stres,DSM-5
aku teriak karena beban pikiran,stres,DSM-5
beneran gak kuat lagi buat memuaskan orang lain,stres,DSM-5
tiap malam cuma bisa nangis karena rasa takut,stres,DSM-5
gak sanggup lagi nahan emosi setiap hari,stres,DSM-5
rasanya pengen teriak pas lagi deadline tugas,stres,DSM-5
kenapa harus diam waktu omongan orang,stres,DSM-5
kenapa harus nahan emosi waktu harapan palsu,stres,DSM-5
tiap malam cuma bisa berpikir karena rasa takut,stres,DSM-5
rasanya pengen menghindar pas lagi deadline tugas,stres,DSM-5
tiap malam cuma bisa teriak karena teman toxic,stres,DSM-5
tiap malam cuma bisa berusaha karena harapan palsu,stres,DSM-5
rasanya pengen nahan emosi pas lagi teman toxic,stres,DSM-5
kepalaku penuh sama ngerjain tugas dan tekanan hidup,stres,DSM-5
kepalaku penuh sama nahan emosi dan harapan palsu,stres,DSM-5
aku tidur karena kesepian,stres,DSM-5
kenapa harus tidur waktu tekanan hidup,stres,DSM-5
udah pura-pura kuat tapi tetap masa lalu,stres,DSM-5
kenapa harus tidur waktu teman toxic,stres,DSM-5
rasanya pengen berusaha pas lagi masalah keluarga,stres,DSM-5
capek banget jadi orang yang selalu pura-pura kuat,stres,DSM-5
beneran gak kuat lagi buat diam,stres,DSM-5
kepalaku penuh sama ngerjain tugas dan omongan orang,stres,DSM-5
tiap malam cuma bisa melawan pikiran negatif karena tekanan hidup,stres,DSM-5
rasanya pengen teriak pas lagi masalah keluarga,stres,DSM-5
aku melawan pikiran negatif karena masa lalu,stres,DSM-5
tiap malam cuma bisa ngeluh karena rasa takut,stres,DSM-5
gak sanggup lagi teriak setiap hari,stres,DSM-5
aku lelah harus terus nahan emosi,stres,DSM-5
rasanya pengen memuaskan orang lain pas lagi beban pikiran,stres,DSM-5
tiap malam cuma bisa berpikir karena deadline tugas,stres,DSM-5
aku nahan emosi karena deadline tugas,stres,DSM-5
kenapa harus diam waktu diri sendiri,stres,DSM-5
beneran gak kuat lagi buat teriak,stres,DSM-5
rasanya pengen pura-pura kuat pas lagi kesepian,stres,DSM-5
rasanya pengen berpikir pas lagi teman toxic,stres,DSM-5
gak sanggup lagi ngerjain tugas setiap hari,stres,DSM-5
rasanya pengen nahan emosi pas lagi harapan palsu,stres,DSM-5
tiap malam cuma bisa melawan pikiran negatif karena masa lalu,stres,DSM-5
tiap malam cuma bisa nangis karena tekanan hidup,stres,DSM-5
kepalaku penuh sama berpikir dan harapan palsu,stres,DSM-5
tiap malam cuma bisa memuaskan orang lain karena rasa takut,stres,DSM-5
tiap malam cuma bisa nangis karena tuntutan orang tua,stres,DSM-5
tiap malam cuma bisa nahan emosi karena omongan orang,stres,DSM-5
rasanya pengen melawan pikiran negatif pas lagi tuntutan orang tua,stres,DSM-5
rasanya pengen teriak pas lagi tuntutan orang tua,stres,DSM-5
tiap malam cuma bisa menghindar karena omongan orang,stres,DSM-5
tiap malam cuma bisa nahan emosi karena kesepian,stres,DSM-5
kepalaku penuh sama menghindar dan diri sendiri,stres,DSM-5
udah berusaha tapi tetap deadline tugas,stres,DSM-5
gak sanggup lagi berpikir setiap hari,stres,DSM-5
aku nangis karena rasa takut,stres,DSM-5
rasanya pengen ngeluh pas lagi masalah keluarga,stres,DSM-5
kepalaku penuh sama tidur dan teman toxic,stres,DSM-5
aku tidur karena tekanan hidup,stres,DSM-5
aku pura-pura kuat karena tuntutan orang tua,stres,DSM-5
aku nangis karena teman toxic,stres,DSM-5
capek banget jadi orang yang selalu ngelamun,stres,DSM-5
udah diam tapi tetap masa lalu,stres,DSM-5
beneran gak kuat lagi buat tidur,stres,DSM-5
kepalaku penuh sama nangis dan beban pikiran,stres,DSM-5
kenapa harus teriak waktu masa lalu,stres,DSM-5
tiap malam cuma bisa ngerjain tugas karena masalah keluarga,stres,DSM-5
tiap malam cuma bisa melawan pikiran negatif karena deadline tugas,stres,DSM-5
kenapa harus pura-pura kuat waktu tuntutan orang tua,stres,DSM-5
kepalaku penuh sama nangis dan tekanan hidup,stres,DSM-5
aku lelah harus terus teriak,stres,DSM-5
kenapa harus nahan emosi waktu rasa takut,stres,DSM-5
gak sanggup lagi pura-pura kuat setiap hari,stres,DSM-5
kenapa harus tidur waktu tuntutan orang tua,stres,DSM-5
rasanya pengen ngelamun pas lagi beban pikiran,stres,DSM-5
kenapa harus ngerjain tugas waktu harapan palsu,stres,DSM-5
aku lelah harus terus ngelamun,stres,DSM-5
aku ngelamun karena deadline tugas,stres,DSM-5
tiap malam cuma bisa teriak karena rasa takut,stres,DSM-5
capek banget jadi orang yang selalu ngerjain tugas,stres,DSM-5
aku ngerjain tugas karena kesepian,stres,DSM-5
rasanya pengen nangis pas lagi harapan palsu,stres,DSM-5
tiap malam cuma bisa nangis karena diri sendiri,stres,DSM-5
tiap malam cuma bisa tidur karena masa lalu,stres,DSM-5
tiap malam cuma bisa memuaskan orang lain karena tuntutan orang tua,stres,DSM-5
rasanya pengen melawan pikiran negatif pas lagi omongan orang,stres,DSM-5
kepalaku penuh sama melawan pikiran negatif dan teman toxic,stres,DSM-5
kepalaku penuh sama ngerjain tugas dan masalah keluarga,stres,DSM-5
kenapa harus ngeluh waktu diri sendiri,stres,DSM-5
kenapa harus nangis waktu masalah keluarga,stres,DSM-5
aku nahan emosi karena masa lalu,stres,DSM-5
udah menghindar tapi tetap harapan palsu,stres,DSM-5
kenapa harus pura-pura kuat waktu rasa takut,stres,DSM-5
aku menghindar karena harapan palsu,stres,DSM-5
udah tidur tapi tetap tuntutan orang tua,stres,DSM-5
aku memuaskan orang lain karena beban pikiran,stres,DSM-5
rasanya pengen tidur pas lagi masalah keluarga,stres,DSM-5
aku lelah harus terus nangis,stres,DSM-5
kepalaku penuh sama ngeluh dan tekanan hidup,stres,DSM-5
tiap malam cuma bisa tidur karena kesepian,stres,DSM-5
tiap malam cuma bisa berpikir karena teman toxic,stres,DSM-5
rasanya pengen memuaskan orang lain pas lagi rasa takut,stres,DSM-5
kenapa harus pura-pura kuat waktu harapan palsu,stres,DSM-5
aku teriak karena harapan palsu,stres,DSM-5
rasanya pengen nahan emosi pas lagi diri sendiri,stres,DSM-5
aku tidur karena teman toxic,stres,DSM-5
udah pura-pura kuat tapi tetap tuntutan orang tua,stres,DSM-5
kenapa harus teriak waktu rasa takut,stres,DSM-5
aku memuaskan orang lain karena harapan palsu,stres,DSM-5
beneran gak kuat lagi buat nahan emosi,stres,DSM-5
kepalaku penuh sama berusaha dan teman toxic,stres,DSM-5
aku memuaskan orang lain karena masa lalu,stres,DSM-5
udah berusaha tapi tetap omongan orang,stres,DSM-5
kenapa harus ngerjain tugas waktu teman toxic,stres,DSM-5
kepalaku penuh sama melawan pikiran negatif dan harapan palsu,stres,DSM-5
kepalaku penuh sama nahan emosi dan teman toxic,stres,DSM-5
rasanya pengen berpikir pas lagi tuntutan orang tua,stres,DSM-5
kepalaku penuh sama memuaskan orang lain dan tuntutan orang tua,stres,DSM-5
rasanya pengen ngeluh pas lagi tuntutan orang tua,stres,DSM-5
udah ngerjain tugas tapi tetap beban pikiran,stres,DSM-5
beneran gak kuat lagi buat nangis,stres,DSM-5
udah berusaha tapi tetap tekanan hidup,stres,DSM-5
kepalaku penuh sama ngeluh dan tuntutan orang tua,stres,DSM-5
bikin bahagia pas bisa olahraga dengan kopi pagi,tidak_stres,I-NAMHS
seru banget waktu makan enak sama kopi pagi,tidak_stres,I-NAMHS
seru banget waktu nulis jurnal sama pelajaran baru,tidak_stres,I-NAMHS
aku bikin konten karena teman-teman,tidak_stres,I-NAMHS
bikin bahagia pas bisa berbagi cerita dengan musik favorit,tidak_stres,I-NAMHS
rasanya pengen jalan-jalan pas lagi hewan peliharaan,tidak_stres,I-NAMHS
aku bikin konten karena cuaca cerah,tidak_stres,I-NAMHS
seru banget waktu bikin konten sama hari minggu,tidak_stres,I-NAMHS
tiap hari semangat buat nulis jurnal karena pemandangan indah,tidak_stres,I-NAMHS
tiap hari semangat buat makan enak karena liburan,tidak_stres,I-NAMHS
seneng banget bisa chat seru bareng momen kecil,tidak_stres,I-NAMHS
nyaman rasanya bisa ngopi santai di tengah pemandangan indah,tidak_stres,I-NAMHS
bikin bahagia pas bisa belajar dengan momen kecil,tidak_stres,I-NAMHS
nyaman rasanya bisa belajar di tengah keluarga,tidak_stres,I-NAMHS
aku bersyukur bisa terus membaca buku walau liburan,tidak_stres,I-NAMHS
rasanya pengen nongkrong pas lagi hari minggu,tidak_stres,I-NAMHS
aku chat seru karena cuaca cerah,tidak_stres,I-NAMHS
penuh energi tiap kali main game setelah hari minggu,tidak_stres,I-NAMHS
penuh energi tiap kali belajar setelah keluarga,tidak_stres,I-NAMHS
aku nulis jurnal karena pemandangan indah,tidak_stres,I-NAMHS
tiap hari semangat buat main game karena kopi pagi,tidak_stres,I-NAMHS
aku bersyukur bisa terus ngopi santai walau cuaca cerah,tidak_stres,I-NAMHS
seneng banget bisa nonton film bareng keluarga,tidak_stres,I-NAMHS
gak sabar mau ngopi santai sama cuaca cerah,tidak_stres,I-NAMHS
penuh energi tiap kali dengerin musik setelah keluarga,tidak_stres,I-NAMHS
seru banget waktu nongkrong sama teman-teman,tidak_stres,I-NAMHS
aku bersyukur bisa terus makan enak walau musik favorit,tidak_stres,I-NAMHS
seru banget waktu nongkrong sama kopi pagi,tidak_stres,I-NAMHS
penuh energi tiap kali nonton film setelah keluarga,tidak_stres,I-NAMHS
aku bersyukur bisa terus dengerin musik walau kopi pagi,tidak_stres,I-NAMHS
rasanya pengen makan enak pas lagi hewan peliharaan,tidak_stres,I-NAMHS
seru banget waktu nulis jurnal sama suasana kampus,tidak_stres,I-NAMHS
tiap hari semangat buat ketawa karena liburan,tidak_stres,I-NAMHS
gak sabar mau nonton film sama hewan peliharaan,tidak_stres,I-NAMHS
seru banget waktu ketawa sama hewan peliharaan,tidak_stres,I-NAMHS
tiap hari semangat buat nulis jurnal karena teman-teman,tidak_stres,I-NAMHS
penuh energi tiap kali membaca buku setelah hewan peliharaan,tidak_stres,I-NAMHS
bikin bahagia pas bisa olahraga dengan hari minggu,tidak_stres,I-NAMHS
penuh energi tiap kali ngopi santai setelah keluarga,tidak_stres,I-NAMHS
penuh energi tiap kali nulis jurnal setelah cuaca cerah,tidak_stres,I-NAMHS
seru banget waktu membaca buku sama pelajaran baru,tidak_stres,I-NAMHS
bikin bahagia pas bisa chat seru dengan liburan,tidak_stres,I-NAMHS
nyaman rasanya bisa ngopi santai di tengah keluarga,tidak_stres,I-NAMHS
gak sabar mau berbagi cerita sama pemandangan indah,tidak_stres,I-NAMHS
aku bersyukur bisa terus nulis jurnal walau pemandangan indah,tidak_stres,I-NAMHS
aku jalan-jalan karena suasana kampus,tidak_stres,I-NAMHS
seneng banget bisa berbagi cerita bareng momen kecil,tidak_stres,I-NAMHS
nyaman rasanya bisa nonton film di tengah pelajaran baru,tidak_stres,I-NAMHS
seru banget waktu ngopi santai sama suasana kampus,tidak_stres,I-NAMHS
aku bersyukur bisa terus nulis jurnal walau hari minggu,tidak_stres,I-NAMHS
rasanya pengen berbagi cerita pas lagi senyum orang tersayang,tidak_stres,I-NAMHS
aku bersyukur bisa terus nonton film walau hewan peliharaan,tidak_stres,I-NAMHS
gak sabar mau olahraga sama kopi pagi,tidak_stres,I-NAMHS
aku bersyukur bisa terus belajar walau musik favorit,tidak_stres,I-NAMHS
seneng banget bisa main game bareng hari minggu,tidak_stres,I-NAMHS
aku bersyukur bisa terus belajar walau hari minggu,tidak_stres,I-NAMHS
aku main game karena momen kecil,tidak_stres,I-NAMHS
gak sabar mau nonton film sama liburan,tidak_stres,I-NAMHS
aku bersyukur bisa terus nonton film walau teman-teman,tidak_stres,I-NAMHS
aku olahraga karena pemandangan indah,tidak_stres,I-NAMHS
seneng banget bisa nongkrong bareng suasana kampus,tidak_stres,I-NAMHS
seneng banget bisa dengerin musik bareng keluarga,tidak_stres,I-NAMHS
nyaman rasanya bisa nulis jurnal di tengah liburan,tidak_stres,I-NAMHS
aku bersyukur bisa terus olahraga walau musik favorit,tidak_stres,I-NAMHS
penuh energi tiap kali nulis jurnal setelah senyum orang tersayang,tidak_stres,I-NAMHS
nyaman rasanya bisa belajar di tengah pemandangan indah,tidak_stres,I-NAMHS
seru banget waktu nongkrong sama pelajaran baru,tidak_stres,I-NAMHS
tiap hari semangat buat belajar karena senyum orang tersayang,tidak_stres,I-NAMHS
aku bersyukur bisa terus bikin konten walau cuaca cerah,tidak_stres,I-NAMHS
tiap hari semangat buat makan enak karena pelajaran baru,tidak_stres,I-NAMHS
nyaman rasanya bisa bikin konten di tengah pelajaran baru,tidak_stres,I-NAMHS
bikin bahagia pas bisa ngopi santai dengan suasana kampus,tidak_stres,I-NAMHS
seneng banget bisa nulis jurnal bareng hewan peliharaan,tidak_stres,I-NAMHS
seneng banget bisa nongkrong bareng momen kecil,tidak_stres,I-NAMHS
penuh energi tiap kali makan enak setelah suasana kampus,tidak_stres,I-NAMHS
nyaman rasanya bisa belajar di tengah pelajaran baru,tidak_stres,I-NAMHS
seneng banget bisa bikin konten bareng hari minggu,tidak_stres,I-NAMHS
bikin bahagia pas bisa ngopi santai dengan liburan,tidak_stres,I-NAMHS
gak sabar mau olahraga sama musik favorit,tidak_stres,I-NAMHS
seneng banget bisa berbagi cerita bareng keluarga,tidak_stres,I-NAMHS
rasanya pengen makan enak pas lagi momen kecil,tidak_stres,I-NAMHS
bikin bahagia pas bisa dengerin musik dengan senyum orang tersayang,tidak_stres,I-NAMHS
nyaman rasanya bisa belajar di tengah momen kecil,tidak_stres,I-NAMHS
aku berbagi cerita karena keluarga,tidak_stres,I-NAMHS
aku nonton film karena pelajaran baru,tidak_stres,I-NAMHS
aku belajar karena momen kecil,tidak_stres,I-NAMHS
penuh energi tiap kali dengerin musik setelah pemandangan indah,tidak_stres,I-NAMHS
seneng banget bisa bikin konten bareng senyum orang tersayang,tidak_stres,I-NAMHS
aku bersyukur bisa terus dengerin musik walau momen kecil,tidak_stres,I-NAMHS
gak sabar mau dengerin musik sama hewan peliharaan,tidak_stres,I-NAMHS
gak sabar mau jalan-jalan sama cuaca cerah,tidak_stres,I-NAMHS
bikin bahagia pas bisa olahraga dengan pemandangan indah,tidak_stres,I-NAMHS
seru banget waktu bikin konten sama senyum orang tersayang,tidak_stres,I-NAMHS
aku bikin konten karena senyum orang tersayang,tidak_stres,I-NAMHS
tiap hari semangat buat ketawa karena hari minggu,tidak_stres,I-NAMHS
gak sabar mau ketawa sama keluarga,tidak_stres,I-NAMHS
nyaman rasanya bisa ketawa di tengah hewan peliharaan,tidak_stres,I-NAMHS
seru banget waktu olahraga sama liburan,tidak_stres,I-NAMHS
penuh energi tiap kali belajar setelah pemandangan indah,tidak_stres,I-NAMHS
penuh energi tiap kali belajar setelah kopi pagi,tidak_stres,I-NAMHS
rasanya pengen jalan-jalan pas lagi momen kecil,tidak_stres,I-NAMHS
nyaman rasanya bisa berbagi cerita di tengah suasana kampus,tidak_stres,I-NAMHS
nyaman rasanya bisa membaca buku di tengah musik favorit,tidak_stres,I-NAMHS
rasanya pengen nonton film pas lagi pemandangan indah,tidak_stres,I-NAMHS
nyaman rasanya bisa ngopi santai di tengah hewan peliharaan,tidak_stres,I-NAMHS
seneng banget bisa ngopi santai bareng kopi pagi,tidak_stres,I-NAMHS
aku main game karena senyum orang tersayang,tidak_stres,I-NAMHS
gak sabar mau jalan-jalan sama suasana kampus,tidak_stres,I-NAMHS
aku makan enak karena liburan,tidak_stres,I-NAMHS
tiap hari semangat buat makan enak karena hewan peliharaan,tidak_stres,I-NAMHS
penuh energi tiap kali makan enak setelah momen kecil,tidak_stres,I-NAMHS
rasanya pengen nonton film pas lagi cuaca cerah,tidak_stres,I-NAMHS
bikin bahagia pas bisa nulis jurnal dengan pelajaran baru,tidak_stres,I-NAMHS
nyaman rasanya bisa dengerin musik di tengah suasana kampus,tidak_stres,I-NAMHS
aku ngopi santai karena musik favorit,tidak_stres,I-NAMHS
seru banget waktu ngopi santai sama pemandangan indah,tidak_stres,I-NAMHS
seru banget waktu chat seru sama momen kecil,tidak_stres,I-NAMHS
penuh energi tiap kali jalan-jalan setelah pelajaran baru,tidak_stres,I-NAMHS
tiap hari semangat buat nongkrong karena kopi pagi,tidak_stres,I-NAMHS
seneng banget bisa dengerin musik bareng senyum orang tersayang,tidak_stres,I-NAMHS
seru banget waktu ketawa sama pelajaran baru,tidak_stres,I-NAMHS
aku bikin konten karena hewan peliharaan,tidak_stres,I-NAMHS
seneng banget bisa belajar bareng pelajaran baru,tidak_stres,I-NAMHS
bikin bahagia pas bisa dengerin musik dengan pemandangan indah,tidak_stres,I-NAMHS
gak sabar mau ketawa sama musik favorit,tidak_stres,I-NAMHS
seru banget waktu makan enak sama pelajaran baru,tidak_stres,I-NAMHS
aku bersyukur bisa terus chat seru walau hewan peliharaan,tidak_stres,I-NAMHS
rasanya pengen berbagi cerita pas lagi teman-teman,tidak_stres,I-NAMHS
bikin bahagia pas bisa olahraga dengan hewan peliharaan,tidak_stres,I-NAMHS
tiap hari semangat buat berbagi cerita karena hari minggu,tidak_stres,I-NAMHS
rasanya pengen ketawa pas lagi cuaca cerah,tidak_stres,I-NAMHS
aku bersyukur bisa terus jalan-jalan walau teman-teman,tidak_stres,I-NAMHS
nyaman rasanya bisa olahraga di tengah musik favorit,tidak_stres,I-NAMHS
penuh energi tiap kali olahraga setelah kopi pagi,tidak_stres,I-NAMHS
seneng banget bisa main game bareng pemandangan indah,tidak_stres,I-NAMHS
nyaman rasanya bisa berbagi cerita di tengah liburan,tidak_stres,I-NAMHS
seneng banget bisa belajar bareng keluarga,tidak_stres,I-NAMHS
nyaman rasanya bisa jalan-jalan di tengah suasana kampus,tidak_stres,I-NAMHS
seru banget waktu olahraga sama teman-teman,tidak_stres,I-NAMHS
nyaman rasanya bisa bikin konten di tengah musik favorit,tidak_stres,I-NAMHS
seru banget waktu membaca buku sama kopi pagi,tidak_stres,I-NAMHS
seru banget waktu bikin konten sama kopi pagi,tidak_stres,I-NAMHS
seru banget waktu berbagi cerita sama teman-teman,tidak_stres,I-NAMHS
bikin bahagia pas bisa chat seru dengan pemandangan indah,tidak_stres,I-NAMHS
gak sabar mau berbagi cerita sama hari minggu,tidak_stres,I-NAMHS
gak sabar mau main game sama hari minggu,tidak_stres,I-NAMHS
seneng banget bisa dengerin musik bareng hari minggu,tidak_stres,I-NAMHS
bikin bahagia pas bisa nulis jurnal dengan teman-teman,tidak_stres,I-NAMHS
aku bersyukur bisa terus bikin konten walau hari minggu,tidak_stres,I-NAMHS
gak sabar mau berbagi cerita sama suasana kampus,tidak_stres,I-NAMHS
tiap hari semangat buat membaca buku karena cuaca cerah,tidak_stres,I-NAMHS
penuh energi tiap kali chat seru setelah momen kecil,tidak_stres,I-NAMHS
gak sabar mau jalan-jalan sama teman-teman,tidak_stres,I-NAMHS
tiap hari semangat buat jalan-jalan karena pelajaran baru,tidak_stres,I-NAMHS
rasanya pengen ngopi santai pas lagi momen kecil,tidak_stres,I-NAMHS
seneng banget bisa bikin konten bareng keluarga,tidak_stres,I-NAMHS
nyaman rasanya bisa chat seru di tengah cuaca cerah,tidak_stres,I-NAMHS
gak sabar mau belajar sama liburan,tidak_stres,I-NAMHS
seneng banget bisa ketawa bareng teman-teman,tidak_stres,I-NAMHS
tiap hari semangat buat ngopi santai karena senyum orang tersayang,tidak_stres,I-NAMHS
nyaman rasanya bisa chat seru di tengah keluarga,tidak_stres,I-NAMHS
tiap hari semangat buat ketawa karena momen kecil,tidak_stres,I-NAMHS
seneng banget bisa nonton film bareng teman-teman,tidak_stres,I-NAMHS
bikin bahagia pas bisa nongkrong dengan liburan,tidak_stres,I-NAMHS
